source,source_geo_id,source_geo_name,source_geo_type,canonical_geo_id,match_method,confidence_score,notes
zillow,394344,"Athens, TN",msa,metro_11940,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TN
zillow,394854,"Mexico, MO",msa,metro_33020,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MO
zillow,394413,"Brenham, TX",msa,metro_14780,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394906,"New Castle, IN",msa,metro_35220,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394915,"Newport, TN",msa,metro_35460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TN
zillow,395073,"Scottsboro, AL",msa,metro_42460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AL
zillow,395084,"Seneca Falls, NY",msa,metro_42900,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NY
zillow,394322,"Altus, OK",msa,metro_11060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OK
zillow,394331,"Angola, IN",msa,metro_11420,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394743,"Ketchikan, AK",msa,metro_28540,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AK
zillow,394897,"Muskogee, OK",msa,metro_34780,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OK
zillow,394738,"Keene, NH",msa,metro_28300,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NH
zillow,394748,"Kingston, NY",msa,metro_28740,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NY
zillow,394494,"Connersville, IN",msa,metro_18220,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394378,"Bellingham, WA",msa,metro_13380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WA
zillow,394692,"Houston, TX",msa,county:00225,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
